id,dose_clusters
STIEFEL_1087,1
STIEFEL_1088,0
STIEFEL_1102,0
STIEFEL_1105,2
STIEFEL_1112,1
STIEFEL_1396,1
STIEFEL_1406,2
STIEFEL_1409,1
STIEFEL_1421,2
STIEFEL_1423,2
STIEFEL_1432,3
STIEFEL_1435,2
STIEFEL_1441,0
STIEFEL_155,3
STIEFEL_222,3
STIEFEL_257,3
STIEFEL_261,3
STIEFEL_299,1
STIEFEL_1501,3
STIEFEL_439,2
STIEFEL_469,3
STIEFEL_483,2
STIEFEL_523,0
STIEFEL_525,1
STIEFEL_572,0
STIEFEL_1545,0
STIEFEL_760,3
STIEFEL_891,1
STIEFEL_912,0
STIEFEL_956,3
STIEFEL_958,2
STIEFEL_997,0
STIEFEL_1024,0
STIEFEL_1030,2
STIEFEL_1035,0
STIEFEL_1572,0
STIEFEL_1042,0
STIEFEL_1050,0
STIEFEL_2403,0
STIEFEL_1069,0
STIEFEL_1086,0
STIEFEL_1090,2
STIEFEL_1100,3
STIEFEL_1106,0
STIEFEL_1576,0
STIEFEL_1115,2
STIEFEL_1118,0
STIEFEL_1120,2
STIEFEL_1126,0
STIEFEL_1130,0
STIEFEL_337,3
STIEFEL_364,2
STIEFEL_654,0
STIEFEL_659,1
STIEFEL_660,3
STIEFEL_702,2
STIEFEL_704,1
STIEFEL_737,1
STIEFEL_740,2
STIEFEL_748,2
STIEFEL_773,2
STIEFEL_788,3
STIEFEL_792,0
STIEFEL_811,1
STIEFEL_813,3
STIEFEL_814,3
STIEFEL_820,2
STIEFEL_856,1
STIEFEL_859,3
STIEFEL_864,2
STIEFEL_866,2
STIEFEL_934,2
STIEFEL_935,3
STIEFEL_945,3
STIEFEL_980,2
STIEFEL_985,2
STIEFEL_993,1
STIEFEL_1015,0
STIEFEL_1028,2
STIEFEL_1034,3
STIEFEL_1057,1
STIEFEL_1061,3
STIEFEL_1072,2
STIEFEL_1073,1
STIEFEL_1085,1
STIEFEL_1098,2
STIEFEL_1104,0
STIEFEL_1108,2
STIEFEL_1109,2
STIEFEL_1127,1
STIEFEL_1129,3
STIEFEL_1132,2
STIEFEL_1156,2
STIEFEL_1157,1
STIEFEL_1164,3
STIEFEL_1167,3
STIEFEL_1168,1
