id,dose_clusters
STIEFEL_948,2
STIEFEL_949,0
STIEFEL_950,2
STIEFEL_955,3
STIEFEL_960,2
STIEFEL_961,3
STIEFEL_964,2
STIEFEL_965,2
STIEFEL_966,2
STIEFEL_967,0
STIEFEL_971,0
STIEFEL_973,0
STIEFEL_978,0
STIEFEL_1568,2
STIEFEL_1013,0
STIEFEL_1033,0
STIEFEL_1036,0
STIEFEL_1045,0
STIEFEL_1052,0
STIEFEL_1055,2
STIEFEL_1067,0
STIEFEL_1396,2
STIEFEL_1406,2
STIEFEL_1408,3
STIEFEL_1409,0
STIEFEL_1416,2
STIEFEL_1421,2
STIEFEL_1422,0
STIEFEL_1423,2
STIEFEL_1426,3
STIEFEL_1432,3
STIEFEL_1433,1
STIEFEL_1435,2
STIEFEL_1441,0
STIEFEL_32,0
STIEFEL_155,3
STIEFEL_222,3
STIEFEL_257,2
STIEFEL_261,3
STIEFEL_332,3
STIEFEL_1501,3
STIEFEL_439,2
STIEFEL_469,1
STIEFEL_483,0
STIEFEL_484,2
STIEFEL_525,2
STIEFEL_572,0
STIEFEL_1545,0
STIEFEL_689,0
STIEFEL_760,2
STIEFEL_762,1
STIEFEL_891,0
STIEFEL_956,3
STIEFEL_958,0
STIEFEL_981,0
STIEFEL_1030,3
STIEFEL_1035,0
STIEFEL_1042,0
STIEFEL_1069,0
STIEFEL_1090,2
STIEFEL_1419,2
STIEFEL_314,2
STIEFEL_337,3
STIEFEL_STIEFEL_588,1
STIEFEL_STIEFEL_613,1
STIEFEL_STIEFEL_616,2
STIEFEL_384,0
STIEFEL_503,2
STIEFEL_510,2
STIEFEL_555,1
STIEFEL_567,1
STIEFEL_630,3
STIEFEL_636,1
STIEFEL_644,2
STIEFEL_652,2
STIEFEL_STIEFEL_299,0
STIEFEL_659,2
STIEFEL_STIEFEL_1501,2
STIEFEL_STIEFEL_456,2
STIEFEL_683,0
STIEFEL_STIEFEL_553,1
STIEFEL_699,1
STIEFEL_STIEFEL_604,1
STIEFEL_STIEFEL_635,2
STIEFEL_STIEFEL_671,2
STIEFEL_722,3
STIEFEL_729,2
STIEFEL_737,2
STIEFEL_740,1
STIEFEL_STIEFEL_910,1
STIEFEL_STIEFEL_912,2
STIEFEL_755,3
STIEFEL_756,1
STIEFEL_760,2
STIEFEL_STIEFEL_1024,1
STIEFEL_STIEFEL_1072,2
STIEFEL_STIEFEL_1086,0
STIEFEL_STIEFEL_1089,0
STIEFEL_STIEFEL_1108,2
STIEFEL_STIEFEL_1118,2
STIEFEL_STIEFEL_1120,0
STIEFEL_STIEFEL_1126,3
